Thread: 7 	|| Run: 3 	|| Tempo: 1770 ms
Thread: 7 	|| Run: 4 	|| Tempo: 1766 ms
Thread: 7 	|| Run: 5 	|| Tempo: 1768 ms
Thread: 7 	|| Run: 6 	|| Tempo: 1769 ms
Thread: 7 	|| Run: 7 	|| Tempo: 1767 ms
Thread: 7 	|| Run: 8 	|| Tempo: 1771 ms
Thread: 7 	|| Run: 9 	|| Tempo: 1765 ms
Thread: 6 	|| Run: 0 	|| Tempo: 2005 ms
Thread: 6 	|| Run: 1 	|| Tempo: 1944 ms
Thread: 6 	|| Run: 2 	|| Tempo: 1943 ms
Thread: 6 	|| Run: 3 	|| Tempo: 1945 ms
Thread: 6 	|| Run: 4 	|| Tempo: 1946 ms
Thread: 6 	|| Run: 5 	|| Tempo: 1948 ms
Thread: 6 	|| Run: 6 	|| Tempo: 1941 ms
Thread: 6 	|| Run: 7 	|| Tempo: 1942 ms
Thread: 6 	|| Run: 8 	|| Tempo: 1950 ms
Thread: 6 	|| Run: 9 	|| Tempo: 1947 ms
Thread: 5 	|| Run: 0 	|| Tempo: 2311 ms
Thread: 5 	|| Run: 1 	|| Tempo: 2281 ms
Thread: 5 	|| Run: 2 	|| Tempo: 2318 ms
Thread: 5 	|| Run: 3 	|| Tempo: 2313 ms
Thread: 5 	|| Run: 4 	|| Tempo: 2282 ms
Thread: 5 	|| Run: 5 	|| Tempo: 2318 ms
Thread: 5 	|| Run: 6 	|| Tempo: 2307 ms
Thread: 5 	|| Run: 7 	|| Tempo: 2318 ms
Thread: 5 	|| Run: 8 	|| Tempo: 2309 ms
Thread: 5 	|| Run: 9 	|| Tempo: 2282 ms
Thread: 4 	|| Run: 0 	|| Tempo: 2779 ms
Thread: 4 	|| Run: 1 	|| Tempo: 2772 ms
Thread: 4 	|| Run: 2 	|| Tempo: 2765 ms
Thread: 4 	|| Run: 3 	|| Tempo: 2748 ms
Thread: 4 	|| Run: 4 	|| Tempo: 2758 ms
Thread: 4 	|| Run: 5 	|| Tempo: 2871 ms
Thread: 4 	|| Run: 6 	|| Tempo: 2866 ms
Thread: 4 	|| Run: 7 	|| Tempo: 2750 ms
Thread: 4 	|| Run: 8 	|| Tempo: 2853 ms
Thread: 4 	|| Run: 9 	|| Tempo: 2752 ms
Thread: 3 	|| Run: 0 	|| Tempo: 3670 ms
Thread: 3 	|| Run: 1 	|| Tempo: 3646 ms
Thread: 3 	|| Run: 2 	|| Tempo: 3696 ms
Thread: 3 	|| Run: 3 	|| Tempo: 3670 ms
Thread: 3 	|| Run: 4 	|| Tempo: 3607 ms
Thread: 3 	|| Run: 5 	|| Tempo: 3655 ms
Thread: 3 	|| Run: 6 	|| Tempo: 3704 ms
Thread: 3 	|| Run: 7 	|| Tempo: 3653 ms
Thread: 3 	|| Run: 8 	|| Tempo: 3615 ms
Thread: 3 	|| Run: 9 	|| Tempo: 3647 ms
Thread: 2 	|| Run: 0 	|| Tempo: 5385 ms
Thread: 2 	|| Run: 1 	|| Tempo: 5379 ms
Thread: 2 	|| Run: 2 	|| Tempo: 5370 ms
Thread: 2 	|| Run: 3 	|| Tempo: 5369 ms
Thread: 2 	|| Run: 4 	|| Tempo: 5372 ms
Thread: 2 	|| Run: 5 	|| Tempo: 5378 ms
Thread: 2 	|| Run: 6 	|| Tempo: 5373 ms
