Thread: 2 	|| Run: 3 	|| Tempo: 5184 ms
Thread: 2 	|| Run: 4 	|| Tempo: 5175 ms
Thread: 2 	|| Run: 5 	|| Tempo: 5161 ms
Thread: 2 	|| Run: 6 	|| Tempo: 5205 ms
Thread: 2 	|| Run: 7 	|| Tempo: 5185 ms
Thread: 2 	|| Run: 8 	|| Tempo: 5195 ms
Thread: 2 	|| Run: 9 	|| Tempo: 5193 ms
Thread: 1 	|| Run: 0 	|| Tempo: 10249 ms
Thread: 1 	|| Run: 1 	|| Tempo: 10154 ms
Thread: 1 	|| Run: 2 	|| Tempo: 10088 ms
Thread: 1 	|| Run: 3 	|| Tempo: 10028 ms
Thread: 1 	|| Run: 4 	|| Tempo: 10036 ms
Thread: 1 	|| Run: 5 	|| Tempo: 10020 ms
Thread: 1 	|| Run: 6 	|| Tempo: 9995 ms
Thread: 1 	|| Run: 7 	|| Tempo: 10006 ms
Thread: 1 	|| Run: 8 	|| Tempo: 9728 ms
Thread: 1 	|| Run: 9 	|| Tempo: 9721 ms
Thread: 20 	|| Run: 0 	|| Tempo: 909 ms
Thread: 20 	|| Run: 1 	|| Tempo: 910 ms
Thread: 20 	|| Run: 2 	|| Tempo: 917 ms
Thread: 20 	|| Run: 3 	|| Tempo: 911 ms
Thread: 20 	|| Run: 4 	|| Tempo: 1083 ms
Thread: 20 	|| Run: 5 	|| Tempo: 909 ms
Thread: 20 	|| Run: 6 	|| Tempo: 933 ms
Thread: 20 	|| Run: 7 	|| Tempo: 911 ms
Thread: 20 	|| Run: 8 	|| Tempo: 979 ms
Thread: 20 	|| Run: 9 	|| Tempo: 912 ms
Thread: 19 	|| Run: 0 	|| Tempo: 936 ms
Thread: 19 	|| Run: 1 	|| Tempo: 1001 ms
Thread: 19 	|| Run: 2 	|| Tempo: 936 ms
Thread: 19 	|| Run: 3 	|| Tempo: 935 ms
Thread: 19 	|| Run: 4 	|| Tempo: 961 ms
Thread: 19 	|| Run: 5 	|| Tempo: 936 ms
Thread: 19 	|| Run: 6 	|| Tempo: 936 ms
Thread: 19 	|| Run: 7 	|| Tempo: 937 ms
Thread: 19 	|| Run: 8 	|| Tempo: 935 ms
Thread: 19 	|| Run: 9 	|| Tempo: 937 ms
Thread: 18 	|| Run: 0 	|| Tempo: 961 ms
Thread: 18 	|| Run: 1 	|| Tempo: 1072 ms
Thread: 18 	|| Run: 2 	|| Tempo: 965 ms
Thread: 18 	|| Run: 3 	|| Tempo: 960 ms
Thread: 18 	|| Run: 4 	|| Tempo: 963 ms
Thread: 18 	|| Run: 5 	|| Tempo: 1031 ms
Thread: 18 	|| Run: 6 	|| Tempo: 965 ms
Thread: 18 	|| Run: 7 	|| Tempo: 967 ms
Thread: 18 	|| Run: 8 	|| Tempo: 1105 ms
Thread: 18 	|| Run: 9 	|| Tempo: 965 ms
Thread: 17 	|| Run: 0 	|| Tempo: 993 ms
Thread: 17 	|| Run: 1 	|| Tempo: 992 ms
Thread: 17 	|| Run: 2 	|| Tempo: 1132 ms
Thread: 17 	|| Run: 3 	|| Tempo: 993 ms
Thread: 17 	|| Run: 4 	|| Tempo: 992 ms
Thread: 17 	|| Run: 5 	|| Tempo: 992 ms
Thread: 17 	|| Run: 6 	|| Tempo: 1010 ms
Thread: 17 	|| Run: 7 	|| Tempo: 993 ms
